Date,삼성전자,SK하이닉스,NAVER,카카오,POSCO홀딩스
2023-05-16,62037.53515625,88404.7578125,205268.1875,55955.25390625,344736.84375
2023-05-17,61658.09765625,89871.640625,210709.03125,57551.12890625,344271.59375
2023-05-18,62796.3984375,91534.1328125,210214.40625,57052.41796875,347063.03125
2023-05-19,64883.29296875,95152.46875,214171.390625,57750.609375,339154.09375
2023-05-22,64978.1484375,96032.6015625,212687.53125,57750.609375,343341.125
2023-05-23,64883.29296875,95739.2265625,209719.8125,57850.35546875,350784.84375
2023-05-24,64978.1484375,95543.625,200816.59375,56653.453125,345202.09375
2023-05-25,65262.734375,101215.6171875,203784.328125,56553.70703125,339619.34375
2023-05-26,66685.59375,106789.8046875,200321.96875,56453.96875,335432.25
2023-05-30,68582.78125,107865.53125,199332.734375,56653.453125,337758.40625
2023-05-31,67729.046875,106203.0625,197354.234375,56055.0,334966.9375
2023-06-01,67254.75,107865.53125,201805.84375,55955.25390625,335897.4375
2023-06-02,68487.9140625,107865.53125,202300.453125,57052.41796875,350319.65625
2023-06-05,68013.6484375,106300.84375,202300.453125,56952.67578125,360554.75
2023-06-07,67349.6171875,105616.28125,202795.078125,57251.90234375,361485.25
2023-06-08,67254.75,107278.7578125,198343.484375,56354.22265625,361019.96875
2023-06-09,68298.2109375,112852.9609375,198343.484375,56254.484375,366602.71875
2023-06-12,67349.6171875,112266.203125,198343.484375,56453.96875,364276.625
2023-06-13,68298.2109375,116862.4609375,198838.09375,56254.484375,362415.65625
2023-06-14,68203.359375,116177.921875,197057.484375,55556.2890625,364276.625
2023-06-15,67823.90625,116373.5,198343.484375,53760.93359375,359159.0625
2023-06-16,68108.5,116275.7109375,200321.96875,53461.70703125,365672.28125
2023-06-19,67539.3359375,112266.203125,196463.90625,52364.54296875,365207.0625
2023-06-20,67729.046875,113537.5234375,196365.0,51566.609375,359159.0625
2023-06-21,66875.3359375,112559.5859375,187857.5,50369.70703125,355902.40625
2023-06-22,67634.203125,111483.859375,189242.4375,50170.22265625,368463.65625
2023-06-23,67918.7734375,111092.6953125,186868.25,49571.76953125,364741.8125
2023-06-26,68677.6484375,110994.90625,186868.25,49870.9921875,372185.5625
2023-06-27,68867.359375,110505.9296875,183900.515625,49222.671875,375442.1875
2023-06-28,68962.21875,111777.25,182812.359375,48873.57421875,362415.65625
2023-06-29,69020.3671875,113934.3359375,181835.75,48873.57421875,362883.90625
2023-06-30,68829.6953125,112953.859375,181240.859375,48973.31640625,363352.125
2023-07-03,69592.3671875,115307.0625,187685.421875,50868.4140625,376462.78125
2023-07-04,69592.3671875,115601.1953125,187090.546875,49821.125,376930.96875
2023-07-05,68639.0390625,114424.609375,184909.3125,48723.96484375,377399.21875
2023-07-06,68257.703125,111581.140625,193832.546875,50768.671875,368970.96875
2023-07-07,66637.0625,109620.1484375,193336.8125,49721.3828125,374589.84375
2023-07-10,66255.7421875,108149.3984375,191552.15625,49721.3828125,371780.4375
2023-07-11,68162.375,111188.9453125,195716.34375,50569.19140625,369439.25
2023-07-12,68543.7109375,113149.953125,200277.109375,51466.86328125,390978.125
2023-07-13,68543.7109375,111875.2890625,197996.71875,51766.09375,404088.75
2023-07-14,69973.6875,115699.2578125,202755.78125,52663.7734375,418604.125
2023-07-17,69878.34375,114914.8515625,204738.734375,52564.02734375,447634.8125
2023-07-18,68639.0390625,115503.1484375,207217.390625,51666.34765625,456999.625
2023-07-19,68353.0546875,115209.0078125,202755.78125,50269.9609375,467769.09375
2023-07-20,67685.71875,114620.703125,202755.78125,50369.70703125,465896.09375
2023-07-21,67018.390625,112855.8046875,204242.984375,50469.4453125,515997.5
2023-07-24,67113.7265625,111777.2421875,201268.578125,49721.3828125,601216.5625
2023-07-25,66732.3984375,111188.9453125,199285.625,48723.96484375,616200.25
2023-07-26,66541.734375,110796.7421875,196013.796875,47676.671875,589978.9375
2023-07-27,68353.0546875,121582.2734375,209696.078125,50469.4453125,556265.9375
2023-07-28,67304.3828125,125504.28125,209200.34375,50469.4453125,579677.6875
2023-07-31,66541.734375,120993.9765625,225063.875,51167.640625,601216.5625
2023-08-01,67781.046875,122660.828125,231012.703125,54758.3515625,581550.75
2023-08-02,66637.0625,117170.0,225559.609375,53062.7421875,547837.625
2023-08-03,65588.421875,117660.2578125,221098.0,53162.48046875,554393.0
2023-08-04,65111.76171875,117758.3125,221593.71875,51666.34765625,556265.9375
2023-08-07,65302.4140625,119523.203125,232499.90625,52564.02734375,525362.1875
2023-08-08,64444.43359375,116287.5390625,221098.0,51666.34765625,559075.375
2023-08-09,65683.75,116189.515625,225559.609375,52663.7734375,559075.375
2023-08-10,64825.76953125,116189.515625,223080.9375,52464.2890625,560011.875
2023-08-11,64349.09375,113051.9140625,220106.515625,51466.86328125,540345.8125
2023-08-14,64158.4375,112659.6953125,219115.046875,50569.19140625,540345.8125
2023-08-16,63872.4375,113542.1484375,220602.25,50170.22265625,511315.0625
2023-08-17,63586.44140625,112561.6484375,216140.640625,49122.93359375,517870.40625
2023-08-18,63205.12109375,114914.8515625,210687.546875,48324.99609375,514124.46875
2023-08-21,63491.109375,114130.4375,212670.484375,48275.12109375,515997.5
2023-08-22,63491.109375,114228.5,219115.046875,48524.48046875,524425.6875
2023-08-23,63967.7734375,113738.265625,213661.953125,48773.8359375,515997.5
2023-08-24,65016.4296875,118542.71875,227046.8125,48973.31640625,542218.75
2023-08-25,63967.7734375,114228.5,209200.34375,47975.8984375,540345.8125
2023-08-28,63681.7734375,113640.2109375,211679.03125,47876.15625,555329.4375
2023-08-29,63681.7734375,116287.5390625,216140.640625,48474.60546875,545964.625
2023-08-30,63967.7734375,117071.953125,215644.90625,48873.57421875,543155.375
2023-08-31,63777.10546875,119425.1640625,212670.484375,47975.8984375,542218.75
2023-09-01,67685.71875,117660.2578125,212670.484375,48823.703125,524425.6875
